ID,Artist,Listens,followers,genres,popularity,other,genre
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,15063045,3475585,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",82,False,rock
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,3396756,1007658,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",70,False,rap
0cQbJU1aAzvbEmTuljWLlF,No Doubt,5668081,1276124,"['dance pop', 'permanent wave', 'pop rock']",71,False,rock
0Grjlu7ncIuCaSYvCs9fcd,New Radicals,2522814,111946,['pop rock'],63,False,rock
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,13034221,4292343,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']",82,False,rock
0t3QQl52F463sxGXb1ckhB,Betty Who,2069798,182007,"['australian dance', 'dance pop', 'electropop', 'indie electro-pop', 'indie poptimism', 'metropopolis', 'pop']",65,False,pop
0TF2NxkJZPQoX1H53rEFM1,Gladys Knight & The Pips,3238371,482142,"['brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",65,False,soul
0TImkz4nPqjegtVSMZnMRq,TLC,7356851,1698271,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",73,False,r&b
0V6zo2mJw9FdwWLClKC9yw,LaVern Baker,142453,19249,"['brill building pop', 'doo-wop', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul']",43,False,soul
11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,1681288,641581,"['latin jazz', 'world']",67,True,other
13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,3639156,1533230,"['contemporary country', 'country', 'country road', 'modern country rock']",71,False,country
196lKsA13K3keVXMDFK66q,The Avett Brothers,1746084,700265,"['alternative country', 'folk-pop', 'indie folk', 'indie pop', 'new americana', 'north carolina indie', 'pop rock', 'progressive bluegrass', 'roots rock', 'stomp and holler']",67,False,country
19ra5tSw0tWufvUp8GotLo,George Michael,8711759,1826317,"['dance rock', 'europop', 'new wave pop', 'soft rock']",75,False,rock
1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & The Blackhearts,2893521,333479,['rock'],65,False,rock
1gWjcmBsveEYMxOZ0VRi32,Koffee,1611119,82572,"['dancehall', 'modern reggae']",66,True,other
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,28975672,8520490,"['dance pop', 'pop']",88,False,pop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,33583793,18026060,"['reggaeton', 'trap latino']",95,False,other
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,8864484,4688807,"['baroque pop', 'chamber pop', 'folk-pop', 'pop', 'uk alternative pop']",78,False,pop
1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,3269660,197285,"['brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",66,False,soul
1PXHzxRDiLnjqNrRn2Xbsa,Underworld,1228128,291944,"['alternative dance', 'big beat', 'electronic', 'new rave', 'trip hop']",60,True,other
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,4448078,158322,"['alternative r&b', 'dmv rap', 'indie r&b', 'r&b']",74,False,rap
1WgXqy2Dd70QQOU7Ay074N,AURORA,2154114,727519,"['norwegian pop', 'pop']",70,False,pop
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,5092984,1932013,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",73,False,soul
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,10123207,3344108,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",76,False,rap
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,27166707,7548872,"['baroque pop', 'emo', 'modern rock', 'pop punk']",88,False,rock
25IG9fa7cbdmCIy3OnuH57,Dixie Chicks,3077751,779915,"['contemporary country', 'country', 'country dawn']",69,False,country
2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,2275041,572941,"['chicago soul', 'classic soul', 'disco', 'funk', 'neo soul', 'soul']",64,False,soul
2kreKea2n96dXjcyAU9j5N,The Pointer Sisters,4134166,317982,"['dance pop', 'dance rock', 'disco', 'europop', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'post-disco', 'quiet storm', 'soft rock']",67,False,rock
