ID,Track,Artist,Listens,buttigieg,harris,gillibrand,danceability,energy,loudness,valence,tempo,year,popularity
19Shlms2uTnOjIUg50TXzd,Never Going Back Again - 2004 Remaster,Fleetwood Mac,74073236,1,0,0,0.654,0.336,-12.825,0.947,176.083,1977,61
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,627154571,1,0,1,0.579,0.904,-2.729,0.681,82.014,2018,85
6EJiVf7U0p1BBfs0qqeb1f,Cut To The Feeling,Carly Rae Jepsen,53267557,1,0,1,0.7,0.907,-2.747,0.596,114.922,2017,65
5EPfDGkdwRx801NTxrnpia,Tweezer - Reprise,Phish,303975,1,0,0,0.27,0.928,-7.832,0.562,188.518,1992,30
0xMEF2WiqKWTIG7Krjungw,The Distance,Cake,75952477,1,0,0,0.463,0.749,-8.118,0.888,183.048,1996,62
1FE45v3BxmGjFiDwuSpeDJ,This Land Is Your Land,Sharon Jones & The Dap-Kings,9376724,1,0,0,0.617,0.757,-3.602,0.906,98.054,2005,49
3cMcGWGErlrAvTJD5ZEiyU,American Pie,Shea Diamond,118649,1,0,0,0.563,0.54,-8.202,0.313,74.982,2018,27
36gPq8WG7tDxrblyGVUCiT,Up Around The Bend,Creedence Clearwater Revival,82746269,1,0,0,0.589,0.85,-6.143,0.813,130.318,1970,66
0MHXrqn909p0LRTPsNsGEi,Move On Up,Curtis Mayfield,19190347,1,0,0,0.538,0.969,-5.626,0.928,138.652,1970,63
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,690293197,1,0,0,0.801,0.795,-5.115,0.754,79.028,2017,78
3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,249826040,1,0,0,0.655,0.877,-3.23,0.893,105.017,2013,72
1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,Florence + The Machine,295273133,1,0,1,0.492,0.81,-5.315,0.245,149.954,2009,66
3I8DC6lBij99XC6HNBGr1Q,Come Alive,Years & Years  Jess Glynne,9610420,1,0,0,0.666,0.795,-5.053,0.752,118.002,2018,52
4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams,Daryl Hall & John Oates,344055859,1,0,1,0.751,0.501,-12.151,0.902,167.058,1980,75
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,David Bowie,116249600,1,0,0,0.635,0.686,-15.648,0.464,125.988,1974,71
4yL5WpJZmoxAV4udhE55VY,Country Nation,Brad Paisley,17817970,1,0,0,0.387,0.861,-5.529,0.482,177.94,2014,46
2XsBSbENuPJNqp50W3iy48,Everyday People,Joan Jett & The Blackhearts,373504,1,0,0,0.571,0.871,-6.226,0.749,119.852,1983,28
22UDw8rSfLbUsaAGTXQ4Z8,American Boy,Estelle  Kanye West,197947,1,0,0,0.727,0.729,-2.99,0.512,117.932,2008,75
0Mn3amMRMoabaoTf1Publ4,Confident,Demi Lovato,246676795,1,0,1,0.606,0.763,-6.197,0.309,130.018,2015,72
0jkBzn7J5jc889TYxwvXy6,Think,Aretha Franklin,85364124,1,0,1,0.69,0.75,-6.449,0.905,110.102,2007,57
3ZxfehzRtB3oJcBuxWXFZQ,It's Your Thing,The Isley Brothers,47501285,1,0,0,0.376,0.67,-9.273,0.837,185.503,1969,57
7qJ0DVXgKBB2tJeQpe8pP6,I'm So Free,Beck,5044344,1,0,0,0.661,0.837,-5.974,0.835,121.011,2017,46
4tR6iqzoPdW0CVEtXyoe25,Won't Get Fooled Again - Single Edit,The Who,1822419,1,0,0,0.663,0.872,-8.88,0.739,134.935,2014,33
6XMYnm4OTEysN8blzqiCL9,Ain't No Man,The Avett Brothers,28091520,1,0,0,0.766,0.695,-5.564,0.766,90.805,2016,58
4r1CoAATVuxag55Ct3Y1aX,I'll Be There,Jess Glynne,211593373,1,0,0,0.627,0.858,-3.116,0.399,100.074,2018,66
6uAm7pG66O1XesXS9bpHSF,Good as Hell,Lizzo,87674551,1,0,1,0.684,0.905,-3.187,0.492,95.985,2016,84
3tyTt5pEWblt96j1HsXiV5,Freedom! '90 - Remastered,George Michael,74620720,1,0,0,0.677,0.852,-10.856,0.93,91.691,2017,65
0EzoivEaVvTmGncou7RaDl,American Crazy,Brothers Osborne,2033866,1,0,0,0.545,0.935,-6.319,0.509,110.009,2016,41
6fIvjDuusQK59brMgHV9qb,This,Darius Rucker,21185698,1,0,0,0.625,0.826,-5.037,0.699,99.919,2010,53
6EOdY7I7Xm1vPP1cyaGbWZ,Ain't No Stoppin' Us Now,McFadden & Whitehead,9867611,1,1,0,0.747,0.701,-7.7,0.87,112.964,1997,53
7FpGAivMuzzBcnOlHZnouD,Yes We Can Can,The Pointer Sisters,2389960,1,0,0,0.786,0.544,-14.04,0.81,89.95,1997,33
7AHw9SfOITU9Q7sj3V5vxV,My Next Thirty Years,Tim McGraw,15834269,1,0,0,0.605,0.804,-7.521,0.601,98.866,1999,46
6ioBgySxoeQKALvAeLEmId,Express Yourself,Madonna,15661478,0,0,1,0.667,0.93,-4.585,0.893,115.57,2009,54
1kJtfldK9F7XmsSiSNlbth,Woman,Kesha  The Dap-Kings Horns,64305783,0,0,1,0.743,0.765,-3.586,0.338,114.991,2017,64
0bPSRn4crnh5f1JhELPlyL,I Know A Place,MUNA,11836908,0,0,1,0.685,0.9,-4.626,0.779,111.991,2017,53
