state,public_so,public_gi,private_so,private_si
California,1,1,1,1
Colorado,1,1,1,1
Connecticut,1,1,1,1
Delaware,1,1,1,1
District of Columbia,1,1,1,1
Hawaii,1,1,1,1
Illinois,1,1,1,1
Iowa,1,1,1,1
Maine,1,1,1,1
Maryland,1,1,1,1
Massachusetts,1,1,1,1
Minnesota,1,1,1,1
Nevada,1,1,1,1
New Hampshire,1,1,1,1
New Jersey,1,1,1,1
New Mexico,1,1,1,1
New York,1,1,1,1
Oregon,1,1,1,1
Rhode Island,1,1,1,1
Utah,1,1,1,1
Vermont,1,1,1,1
Washington,1,1,1,1
Indiana,1,1,0,0
Kentucky,1,1,0,0
Michigan,1,1,0,0
Montana,1,1,0,0
Ohio,1,1,0,0
Pennsylvania,1,1,0,0
Virginia,1,1,0,0
Wisconsin,1,1,0,0
Alaska,1,0,0,0
Arizona,1,0,0,0
Missouri,1,0,0,0
North Carolina,1,0,0,0
