state,favor,oppose,nonresponse
Alabama,59,34,7
Alaska,68,23,9
Arizona,68,25,7
Arkansas,56,33,12
California,73,21,6
Colorado,72,21,7
Connecticut,76,19,5
Delaware,71,24,5
Florida,68,25,7
Georgia,65,29,6
Hawaii,70,22,8
Idaho,68,25,8
Illinois,69,24,8
Indiana,65,29,7
Iowa,68,28,4
Kansas,70,26,5
Kentucky,59,35,6
Louisiana,67,25,8
Maine,69,26,5
Maryland,70,23,6
Massachusetts,75,19,6
Michigan,70,24,6
Minnesota,70,22,7
Mississippi,59,36,5
Missouri,64,30,6
Montana,72,24,5
Nebraska,65,25,10
Nevada,68,26,6
New Hampshire,81,11,8
New Jersey,72,23,5
New Mexico,73,22,5
New York,73,21,6
North Carolina,66,28,7
North Dakota,72,20,7
Ohio,68,26,6
Oklahoma,62,29,9
Oregon,72,23,5
Pennsylvania,68,26,6
Rhode Island,73,23,5
South Carolina,58,34,8
South Dakota,66,27,7
Tennessee,64,29,7
Texas,66,27,8
Utah,77,19,4
Vermont,77,17,6
Virginia,68,26,7
Washington,75,19,6
West Virginia,63,30,7
Wisconsin,67,26,6
Wyoming,61,37,3
