gender,name
M,Robert De Niro
M,Jack Nicholson
?,Tom Hanks
M,Marlon Brando
M,Leonardo DiCaprio
M,Humphrey Bogart
M,Johnny Depp
M,Al Pacino
M,Denzel Washington
M,Laurence Olivier
M,Brad Pitt
M,Daniel Day-Lewis
M,Tom Cruise
M,Cary Grant
M,Dustin Hoffman
M,Clark Gable
M,Sean Penn
M,Christian Bale
M,Gregory Peck
M,Sidney Poitier
M,Harrison Ford
M,Spencer Tracy
M,George Clooney
M,Charlton Heston
M,Morgan Freeman
F,Katharine Hepburn
F,Meryl Streep
F,Ingrid Bergman
F,Marilyn Monroe
F,Jennifer Lawrence
F,Kate Winslet
F,Elizabeth Taylor
F,Cate Blanchett
F,Audrey Hepburn
F,Helen Mirren
F,Bette Davis
F,Viola Davis
F,Nicole Kidman
?,Sandra Bullock
F,Natalie Portman
F,Jodie Foster
F,Judi Dench
F,Amy Adams
F,Julia Roberts
F,Diane Keaton
F,Grace Kelly
F,Shirley MacLaine
F,Reese Witherspoon
F,Charlize Theron
F,Judy Garland
M,John Wayne
M,Paul Newman
M,Anthony Hopkins
M,Matt Damon
M,Russell Crowe
M,Robert Duvall
M,James Dean
M,Kirk Douglas
M,Henry Fonda
M,Robin Williams
M,Orson Welles
M,Christoph Waltz
M,Heath Ledger
M,Sean Connery
M,Kevin Spacey
M,Gene Hackman
M,Liam Neeson
M,Edward Norton
M,Bruce Willis
M,Gary Cooper
M,Philip Seymour Hoffman
M,Robert Redford
M,Ralph Fiennes
?,Will Smith
M,Steve McQueen
F,Vivien Leigh
F,Angelina Jolie
F,Anne Hathaway
F,Maggie Smith
F,Olivia de Havilland
F,Barbara Stanwyck
F,Joan Fontaine
F,Greer Garson
F,Faye Dunaway
F,Susan Hayward
F,Ellen Burstyn
F,Jane Wyman
F,Sophia Loren
F,Joan Crawford
F,Kathy Bates
F,Julie Andrews
F,Marion Cotillard
F,Deborah Kerr
F,Sissy Spacek
F,Susan Sarandon
F,Luise Rainer
F,Glenn Close
F,Jane Fonda
?,Doris Day
F,Natalie Wood
M,Jeff Bridges
M,Chiwetel Ejiofor
M,Ben Kingsley
M,Tommy Lee Jones
M,Samuel L. Jackson
M,Jack Lemmon
M,Joe Pesci
M,Christopher Plummer
